Species,"Grid reference",Location,Date,Recorder,Determiner
"Dendrodrilus rubidus",SU856704,"Tinker's Copse",2014/03/22,"Dan Carpenter","Dan Carpenter"
"Dendrobaena octaedra",SU856704,"Tinker's Copse",2014/03/22,"Dan Carpenter","Dan Carpenter"
"Dendrobaena octaedra",SU905685,"Englemere Pond",2014/03/22,"Dan Carpenter","Dan Carpenter"
"Dendrobaena attemsi",SU907684,"Englemere Pond",2014/03/22,"Dan Carpenter","Dan Carpenter"
"Dendrobaena attemsi",SU907684,"Englemere Pond",2014/03/22,"Dan Carpenter","Dan Carpenter"
"Lumbricus castaneus",SU860704,"Garth Meadows",2014/03/22,"Dan Carpenter","Dan Carpenter"
"Lumbricus castaneus",SU860704,"Garth Meadows",2014/03/22,"Dan Carpenter","Dan Carpenter"
"Lumbricus rubellus",SU784717,"Dinton Pastures Country Park: Site 1",2015/10/17,"Dan Carpenter","Rachel Clark"
"Lumbricus castaneus",SU784717,"Dinton Pastures Country Park: Site 1",2015/10/17,"Dan Carpenter","Kerry Calloway"
"Lumbricus castaneus",SU714684,"Mere Oak Park",2015/03/05,"Keith Lugg","Keith Lugg"
"Aporrectodea longa",SU714684,"Mere Oak Park",2015/03/05,"Keith Lugg","Keith Lugg"
"Aporrectodea caliginosa",SU714684,"Mere Oak Park",2015/03/05,"Keith Lugg","Keith Lugg"
"Lumbricus terrestris",SU714684,"Mere Oak Park",2015/05/05,"Keith Lugg","Keith Lugg"
"Lumbricus castaneus",SU714684,"Mere Oak Park",2015/05/05,"Keith Lugg","Keith Lugg"
"Aporrectodea rosea",SU714684,"Mere Oak Park",2015/05/05,"Keith Lugg","Keith Lugg"
"Aporrectodea longa",SU714684,"Mere Oak Park",2015/05/05,"Keith Lugg","Keith Lugg"
"Aporrectodea caliginosa",SU714684,"Mere Oak Park",2015/05/05,"Keith Lugg","Keith Lugg"
"Allolobophora chlorotica",SU714684,"Mere Oak Park",2015/05/05,"Keith Lugg","Keith Lugg"
"Lumbricus castaneus",SU784717,"Dinton Pastures Country Park: Site 1",2015/10/17,"Dan Carpenter","Rachel Clark"
"Allolobophora chlorotica",SU714684,"Mere Oak Park",2015/05/05,"Keith Lugg","Keith Lugg"
"Lumbricus rubellus",SU776725,"Dinton Pastures Country Park: Site 5",2015/10/17,"Dan Carpenter","Keith Lugg"
"Dendrodrilus rubidus",SU782717,"Dinton Pastures Country Park",2015/02/08,"Keith Lugg","Keith Lugg"
"Dendrobaena hortensis",SU782717,"Dinton Pastures Country Park",2015/02/08,"Keith Lugg","Keith Lugg"
"Dendrobaena attemsi",SU782717,"Dinton Pastures Country Park",2015/02/08,"Keith Lugg","Keith Lugg"
"Lumbricus terrestris",SU504941,"Bekynton House, Sutton Courtenay",2012/07/21,"Richard Comont","Richard Comont"
"Lumbricus rubellus",SU784717,"Dinton Pastures Country Park: Site 1",2015/10/17,"Dan Carpenter","Irfaan Junaideen"
"Allolobophora chlorotica",SU784717,"Dinton Pastures Country Park: Site 1",2015/10/17,"Dan Carpenter","Irfaan Junaideen"
"Lumbricus castaneus",SU784717,"Dinton Pastures Country Park: Site 1",2015/10/17,"Dan Carpenter","Irfaan Junaideen"
"Dendrodrilus rubidus",SU784717,"Dinton Pastures Country Park: Site 1",2015/10/17,"Dan Carpenter","Irfaan Junaideen"
"Lumbricus terrestris",SP465090,"Wytham Woods",2013/10/25,"Richard Comont","Richard Comont"
"Aporrectodea caliginosa",SU784717,"Dinton Pastures Country Park: Site 1",2015/10/17,"Dan Carpenter","Irfaan Junaideen"
"Lumbricus rubellus",SU870708,"Larks Hill",2014/03/22,"Keiron Derek Brown","Keiron Derek Brown"
"Lumbricus terrestris",SU870708,"Larks Hill",2014/03/22,"Keiron Derek Brown","Keiron Derek Brown"
"Satchellius mammalis",SU870708,"Larks Hill",2014/03/22,"Keiron Derek Brown","Keiron Derek Brown"
"Allolobophora chlorotica",SU870708,"Larks Hill",2014/03/22,"Keiron Derek Brown","Keiron Derek Brown"
"Aporrectodea caliginosa",SU870708,"Larks Hill",2014/03/22,"Keiron Derek Brown","Keiron Derek Brown"
"Aporrectodea rosea",SU870708,"Larks Hill",2014/03/22,"Keiron Derek Brown","Keiron Derek Brown"
"Lumbricus castaneus",SU870708,"Larks Hill",2014/03/22,"Keiron Derek Brown","Keiron Derek Brown"
"Lumbricus rubellus",SU649698,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Murchieona muldali",SU652697,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
"Murchieona muldali",SU652697,"Hosehill Lake",2014/08/16,"Victoria Burton","Victoria Burton"
